orgUnit_name,period,AFP Confirmed,AFP Sent to Lab,AFP suspected,Anthrax confirmed,Anthrax sent to lab,Anthrax suspected,Cholera confirmed,Cholera sent to lab,Cholera suspected,Diarrhoea Non-Bloody confirmed,Diarrhoea Non-Bloody sent to lab,Diarrhoea Non-Bloody suspecteded,Malaria confirmed,Malaria sent to lab,Malaria suspected,Measles confirmed,Measles sent to lab,Measles suspected,Monkeypox sent to lab,Monkeypox suspected,Plague sent to Lab,Plague suspected,Typhoid fever confirmed,Typhoid fever sent to Lab,Typhoid fever suspected
mu Muchinga Province,2024W19,0,1,1,0,0,0,0,0,0,0,1,657,5113,8961,14038,0,0,6,0,0,0,0,0,0,0
no Northern Province,2024W19,0,0,0,0,0,0,0,0,0,0,7,1558,13758,24057,24559,0,1,41,0,0,0,0,0,0,0
ls Lusaka Province,2024W19,0,2,3,0,0,0,3,5,13,148,156,1762,1248,6226,6537,0,0,1,0,0,0,0,0,0,8
ea Eastern Province,2024W19,0,1,1,0,0,0,0,0,0,31,153,3139,32365,54460,56084,0,76,1,0,0,0,0,0,0,0
lu Luapula Province,2024W19,0,0,0,0,0,0,0,0,0,0,2,1279,19800,31630,32199,0,0,0,0,0,0,0,0,0,0
ce Central Province,2024W19,0,1,1,0,0,0,0,0,0,0,5,3111,13718,27833,28383,0,4,4,0,0,0,0,0,0,0
co Copperbelt Province,2024W2,0,0,0,0,0,0,19,40,41,152,152,2754,28743,52409,52502,0,1,1,0,0,0,0,0,0,0
nw North-Western Province,2024W2,0,1,2,0,0,0,6,23,25,582,340,1821,23020,36291,39739,0,1,21,0,0,0,0,0,0,1
so Southern Province,2024W2,0,0,0,0,0,1,20,53,66,3,84,2842,891,4563,4695,0,0,0,0,0,0,0,1,1,1
we Western Province,2024W2,0,0,0,1,6,12,3,4,5,43,34,2243,18633,33198,34423,0,0,1,0,0,0,0,0,1,0
mu Muchinga Province,2024W2,0,2,2,0,0,0,0,0,0,5,5,539,12904,19047,19134,0,0,0,0,0,0,0,0,0,0
